Fechas,Vista_Red_MN,Vista_Patrimonial_MN,Vista_Minorista_MN,Vista_Empresas_MN,Vista_Gobierno_MN,Vista_Empresas_Gobierno_MN,Vista_Corporativa_MN,Plazo_Red_MN,Plazo_Patrimonial_MN,Plazo_Minorista_MN,Plazo_Empresas_MN,Plazo_Gobierno_MN,Plazo_Empresas_Gobierno_MN,Plazo_Corporativa_MN,Plazo_Mayorista_MN,Vista_Red_ME,Vista_Patrimonial_ME,Vista_Minorista_ME,Vista_Empresas_ME,Vista_Gobierno_ME,Vista_Empresas_Gobierno_ME,Vista_Corporativa_ME,Vista_Mayorista_ME,Plazo_Red_ME,Plazo_Patrimonial_ME,Plazo_Minorista_ME,Plazo_Empresas_ME,Plazo_Gobierno_ME,Plazo_Empresas_Gobierno_ME,Plazo_Corporativa_ME,Plazo_Mayorista_ME,Ahorro_Red_MN,Ahorro_Patrimonial_MN,Ahorro_Minorista_MN,Ahorro_Empresas_MN,Ahorro_Gobierno_MN,Ahorro_Empresas_Gobierno_MN,Ahorro_Corporativa_MN,Empresas_MN,Gobierno_MN,Corporativa_MN,Promotor,Empresas_ME,Gobierno_ME,Corporativa_ME,Gobierno_Total,PyME,TDC,Nomina,PPI,Auto,Hipotecaria
2007-11-01,73413.83370,2292.58613,75706.41983,19999.90004,23984.64192,43984.54196,13617.82402,76909.06144,7684.99984,84594.06127,21593.25292,15888.48431,37481.73722,4881.32723,42363.06445,13349.98360,1186.84939,14536.83298,14602.19899,491.56420,15093.76318,12227.79541,27321.55859,721.62268,3143.07770,3864.70038,3304.51776,83.52676,3388.04452,409.65474,3797.69926,81494.32694,168.78199,81663.10893,133.75233,2.56531,136.31764,0.40433,42785.62255,27325.66858,54934.11385,26519.45180,14461.30050,54.81543,33373.35072,27380.48402,9531.54946,86655.65996,NA,NA,17260.07045,120078.58926
2007-12-01,81832.54678,2829.16105,84661.70784,25809.37593,29644.25792,55453.63385,19201.31739,69260.21426,14774.16134,84034.37560,19255.92277,12620.37996,31876.30274,5819.86483,37696.16757,12814.85640,1205.55607,14020.41247,14970.68430,728.94750,15699.63180,6660.17370,22359.80550,470.10488,3334.03964,3804.14452,3620.49931,79.95662,3700.45594,546.18617,4246.64210,90669.63266,191.36089,90860.99355,133.47040,2.22739,135.69779,0.40919,43241.71076,28310.73490,51805.48360,26842.09759,14764.14493,54.31466,32616.68587,28365.04957,9857.95228,85694.35255,NA,NA,17525.23545,118063.97059
2008-01-01,75473.47947,2454.68829,77928.16776,20798.21025,29872.70746,50670.91771,14162.10220,76259.85735,8293.41046,84553.26781,19919.90827,18464.51596,38384.42422,6717.59622,45102.02044,12863.43089,1058.90735,13922.33824,15118.09260,508.53542,15626.62802,10966.88762,26593.51564,573.19552,3101.50783,3674.70336,3196.80303,83.15172,3279.95475,619.24508,3899.19982,81848.01642,178.51621,82026.53263,132.47289,2.23236,134.70525,0.44204,39914.09248,29333.28156,48881.61109,29806.13716,15029.89795,53.00555,33183.70799,29386.28711,10098.48604,85859.11469,NA,NA,17633.98993,121819.62211
2008-02-01,74339.87129,2465.01378,76804.88507,20178.34042,29301.47092,49479.81134,18322.25641,76393.60936,10328.45487,86722.06423,19044.01140,19808.46592,38852.47732,6453.90435,45306.38167,13189.79159,975.20516,14164.99675,15139.40833,542.97579,15682.38412,15783.19760,31465.58172,667.20373,3274.50587,3941.70961,3283.82709,80.58802,3364.41511,799.59744,4164.01256,84937.48665,183.66869,85121.15533,134.65856,2.25569,136.91425,0.50847,38699.35621,28652.67015,48476.67786,31888.53975,14780.57509,52.52210,33180.91643,28705.19225,10740.27548,87077.06500,NA,NA,17641.64169,123329.82918
2008-03-01,73388.70571,2342.49202,75731.19773,21916.87540,34048.88455,55965.75995,14332.05234,75345.49786,10641.02866,85986.52651,19545.34458,19909.40032,39454.74490,10309.44552,49764.19042,12776.60495,1021.03430,13797.63925,14210.65537,813.26479,15023.92015,11110.20880,26134.12895,577.61045,3094.10324,3671.71369,3245.10965,79.89445,3325.00410,333.32758,3658.33168,76872.90214,170.82816,77043.73030,132.48052,2.29591,134.77643,0.55062,37975.21490,28360.48437,53100.29918,34881.92342,14773.06363,52.05257,32192.20033,28412.53695,11121.18943,88654.15522,NA,NA,17616.47403,124603.62586
2008-04-01,73081.03222,2475.94122,75556.97344,20810.77560,30064.50232,50875.27792,20172.44643,75532.23291,11686.06614,87218.29904,19431.12613,22739.35480,42170.48093,9142.27335,51312.75428,12661.26944,1008.07389,13669.34333,13872.42012,518.01241,14390.43253,11369.62374,25760.05627,603.60411,2986.68077,3590.28488,2995.75191,84.26994,3080.02185,390.63708,3470.65894,82450.73928,176.45624,82627.19552,132.37869,2.31943,134.69812,0.52928,40532.33546,29469.14524,59311.63399,32851.95344,15058.60651,51.06152,33019.45128,29520.20676,11598.84454,88710.99379,NA,NA,17634.52430,126116.00417
2008-05-01,72908.27734,2391.71925,75299.99659,20621.13676,32092.31578,52713.45255,12112.54231,75212.34937,9980.60648,85192.95585,17779.61602,22346.83369,40126.44970,11292.79116,51419.24086,12483.06671,1027.90414,13510.97085,14605.19315,480.69134,15085.88448,7388.79831,22474.68280,583.10586,2814.48440,3397.59026,2868.79591,66.70805,2935.50396,697.66682,3633.17079,86241.56631,183.58960,86425.15591,132.03956,2.35208,134.39165,0.51762,42214.08734,29676.62071,66820.91268,33457.35295,15175.69979,51.33833,32081.02477,29727.95903,12126.57472,88152.50301,NA,NA,17583.65873,127769.60965
2008-06-01,74540.01952,2501.04186,77041.06138,23255.55748,42998.89087,66254.44835,13134.39130,74949.68952,10310.03078,85259.72030,17856.36821,23731.41062,41587.77883,11880.78673,53468.56555,12375.96876,1088.24655,13464.21531,14285.78094,511.03910,14796.82004,8964.51288,23761.33292,516.19806,2848.31117,3364.50923,2724.42595,66.62399,2791.04995,301.14971,3092.19966,80938.14451,188.26469,81126.40920,131.97595,2.41265,134.38860,0.44231,42043.43235,28806.70042,56656.88992,34992.64749,15122.66922,48.08135,26382.40358,28854.78178,12546.46197,88766.94321,NA,NA,17551.77822,129449.23570
2008-07-01,72962.16267,2503.56079,75465.72347,20021.28496,38651.41896,58672.70392,13982.72015,74573.37975,11038.92695,85612.30670,21348.44891,23641.29864,44989.74755,14147.66396,59137.41151,12026.02272,1022.59772,13048.62044,14909.74270,1287.07928,16196.82198,9286.79936,25483.62135,478.85796,2750.19987,3229.05783,2640.38245,72.67366,2713.05610,1066.81810,3779.87421,80788.20234,185.53063,80973.73296,130.90856,2.21731,133.12587,0.38326,44868.85813,28910.26563,60873.20024,33532.34615,14606.39286,61.64622,26592.21923,28971.91185,13030.97192,88710.66201,NA,NA,17591.71243,130727.89388
2008-08-01,72580.33356,2581.55869,75161.89225,20597.56065,35767.32347,56364.88412,20247.61019,73823.68006,12282.16778,86105.84784,20137.70005,25080.73890,45218.43895,7649.83305,52868.27200,11860.32424,1038.76316,12899.08739,14073.89614,1233.44734,15307.34348,10063.41515,25370.75863,482.59429,2840.52481,3323.11910,2730.77772,74.61985,2805.39757,1041.00440,3846.40197,82409.55549,185.91668,82595.47217,130.28123,2.40213,132.68336,0.52406,45500.84842,29982.12560,65661.03367,34523.49456,16128.65372,61.64972,24598.61729,30043.77531,13660.51060,87811.56547,NA,NA,17623.68644,126646.20455
